[2025-03-30 01:04:46] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:05:13] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:05:24] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:06:36] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:10:55] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:11:42] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:11:47] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:13:30] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:13:37] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:14:09] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:14:13] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:15:31] Id del Usuario :4 | Usuario con saldo negativo

[2025-03-30 01:15:50] Id del Usuario :4 | Usuario con saldo negativo

